Event.Date,Injury.Severity,Aircraft.damage,Make,Model,Number.of.Engines,Engine.Type,Purpose.of.flight,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Total.Fatal.Serious,Total.People,Critical.Injury.Rate,Plane.Destroyed,Aircraft.Type
1979-09-17,Non-Fatal,Substantial,Douglas,DC9,2.0,Turbo Fan,,,,1.0,44.0,VMC,0.0,45.0,0.0,False,Douglas DC9
1982-02-07,Non-Fatal,Substantial,Bellanca,7KCAB,1.0,Reciprocating,Personal,,,,2.0,VMC,0.0,2.0,0.0,False,Bellanca 7KCAB
1982-02-19,Incident,,Boeing,B-727-200,3.0,Turbo Jet,,,,,83.0,IMC,0.0,83.0,0.0,False,Boeing B-727-200
1982-04-09,Non-Fatal,Substantial,Piper,PA-23-170,2.0,Reciprocating,Instructional,,,,2.0,VMC,0.0,2.0,0.0,False,Piper PA-23-170
1982-05-12,Incident,,Learjet,24B,2.0,Turbo Jet,Business,,,,3.0,VMC,0.0,3.0,0.0,False,Learjet 24B
1982-07-05,Incident,Minor,Boeing,727-233,3.0,Turbo Fan,,,,,74.0,VMC,0.0,74.0,0.0,False,Boeing 727-233
1982-07-16,Non-Fatal,Destroyed,Cessna,172P,1.0,Reciprocating,Personal,,1.0,3.0,,VMC,1.0,4.0,0.25,True,Cessna 172P
1982-07-25,Fatal(4),Destroyed,Cessna,182A,1.0,Reciprocating,Skydiving,4.0,1.0,,,VMC,5.0,5.0,1.0,True,Cessna 182A
1982-09-21,Incident,Minor,Cessna,C-207,1.0,Reciprocating,Unknown,,,,5.0,VMC,0.0,5.0,0.0,False,Cessna C-207
1982-10-17,Fatal(14),Destroyed,Beech,C-45H,2.0,Reciprocating,Skydiving,14.0,,,,VMC,14.0,14.0,1.0,True,Beech C-45H
1982-10-26,Fatal(1),Destroyed,Cessna,172G,1.0,Reciprocating,Business,1.0,,1.0,,VMC,1.0,2.0,0.5,True,Cessna 172G
1982-12-09,Fatal(2),Destroyed,Piper,PA-31-350,2.0,Reciprocating,Ferry,2.0,,,,VMC,2.0,2.0,1.0,True,Piper PA-31-350
1982-12-14,Non-Fatal,Substantial,Piper,PA-28-180,1.0,Reciprocating,Instructional,,,,2.0,VMC,0.0,2.0,0.0,False,Piper PA-28-180
1983-03-18,Incident,Minor,Boeing,747,4.0,Turbo Fan,,,,,588.0,VMC,0.0,588.0,0.0,False,Boeing 747
1983-03-20,Fatal(1),Destroyed,Piper,PA-28-140,1.0,Reciprocating,Personal,1.0,1.0,,,IMC,2.0,2.0,1.0,True,Piper PA-28-140
1983-04-02,Fatal(1),,De Havilland,DHC-6,2.0,Turbo Prop,Skydiving,1.0,,,4.0,VMC,1.0,5.0,0.2,False,De Havilland DHC-6
1983-08-21,Incident,Minor,Douglas,DC-10-10,3.0,Turbo Fan,Unknown,,,,289.0,VMC,0.0,289.0,0.0,False,Douglas DC-10-10
1983-11-08,Incident,Minor,Boeing,727-200,3.0,Turbo Fan,Unknown,,,,100.0,VMC,0.0,100.0,0.0,False,Boeing 727-200
1984-06-11,Non-Fatal,Substantial,Piper,PA-23-250,2.0,Reciprocating,Personal,,,,4.0,VMC,0.0,4.0,0.0,False,Piper PA-23-250
1985-01-14,Non-Fatal,Destroyed,Cessna,182Q,1.0,Reciprocating,Personal,,1.0,1.0,,VMC,1.0,2.0,0.5,True,Cessna 182Q
1985-06-11,Fatal(1),Destroyed,Cessna,152,1.0,Reciprocating,Instructional,1.0,1.0,4.0,,VMC,2.0,6.0,0.3333333333333333,True,Cessna 152
1985-08-16,Incident,Substantial,Cessna,441,2.0,Turbo Prop,Business,,,,4.0,VMC,0.0,4.0,0.0,False,Cessna 441
1985-09-29,Fatal(17),Destroyed,Cessna,208,1.0,Turbo Prop,Skydiving,17.0,,,,VMC,17.0,17.0,1.0,True,Cessna 208
1986-04-08,Non-Fatal,Substantial,Piper,PA-23-250,2.0,Reciprocating,Personal,,,,2.0,VMC,0.0,2.0,0.0,False,Piper PA-23-250
1986-04-15,Fatal(2),Destroyed,Grumman,G164A,1.0,Reciprocating,Aerial Application,2.0,,,,VMC,2.0,2.0,1.0,True,Grumman G164A
1986-04-15,Fatal(2),Destroyed,Grumman,G164A,1.0,Reciprocating,Aerial Application,2.0,,,,VMC,2.0,2.0,1.0,True,Grumman G164A
1986-05-19,Fatal(2),Destroyed,Cessna,TU206F,1.0,Reciprocating,Skydiving,2.0,,1.0,,VMC,2.0,3.0,0.6666666666666666,True,Cessna TU206F
1986-05-19,Fatal(2),Destroyed,Cessna,152,1.0,Reciprocating,Instructional,2.0,,1.0,,VMC,2.0,3.0,0.6666666666666666,True,Cessna 152
1986-05-30,Incident,,Grumman,F-14A,2.0,Turbo Jet,Public Aircraft,,,,69.0,VMC,0.0,69.0,0.0,False,Grumman F-14A
1986-05-30,Incident,,Douglas,DC-9-31,2.0,Turbo Fan,Unknown,,,,69.0,VMC,0.0,69.0,0.0,False,Douglas DC-9-31
1987-01-15,Fatal(10),Destroyed,Mooney,M-20C,1.0,Reciprocating,Instructional,10.0,,,,VMC,10.0,10.0,1.0,True,Mooney M-20C
1987-02-14,Fatal(1),,Boeing,707-323B,4.0,Turbo Jet,Unknown,1.0,,3.0,131.0,Unknown,1.0,135.0,0.007407407407407408,False,Boeing 707-323B
1988-04-05,Non-Fatal,Substantial,Beech,B90,2.0,Turbo Prop,Unknown,,,,5.0,IMC,0.0,5.0,0.0,False,Beech B90
1988-04-16,Non-Fatal,,Boeing,757-225,2.0,Unknown,,,1.0,,192.0,Unknown,1.0,193.0,0.0051813471502590676,False,Boeing 757-225
1988-05-02,Incident,Minor,Boeing,747-123,4.0,Turbo Fan,Unknown,,,,258.0,VMC,0.0,258.0,0.0,False,Boeing 747-123
1988-12-23,Non-Fatal,,Boeing,747SP-21,4.0,Turbo Fan,Unknown,,1.0,1.0,220.0,Unknown,1.0,222.0,0.0045045045045045045,False,Boeing 747SP-21
1988-12-24,Fatal(2),Destroyed,Cessna,310R,2.0,Reciprocating,Positioning,2.0,,,,VMC,2.0,2.0,1.0,True,Cessna 310R
1989-04-27,Fatal(3),Destroyed,Maule,M-5,1.0,Reciprocating,Other Work Use,3.0,,,,IMC,3.0,3.0,1.0,True,Maule M-5
1989-06-15,Non-Fatal,Substantial,Cessna,210L,1.0,Reciprocating,Personal,,,3.0,,VMC,0.0,3.0,0.0,False,Cessna 210L
1989-07-30,Fatal(7),Destroyed,Cessna,182B,1.0,Reciprocating,Other Work Use,7.0,,,,VMC,7.0,7.0,1.0,True,Cessna 182B
1989-07-30,Fatal(7),Destroyed,Beech,A36,1.0,Reciprocating,Skydiving,7.0,,,,VMC,7.0,7.0,1.0,True,Beech A36
1989-07-30,Non-Fatal,Substantial,Piper,PA-32-300,1.0,Reciprocating,Personal,,,,4.0,VMC,0.0,4.0,0.0,False,Piper PA-32-300
1989-12-17,Fatal(1),Substantial,Cessna,182,1.0,Reciprocating,Unknown,1.0,,1.0,1.0,VMC,1.0,3.0,0.3333333333333333,False,Cessna 182
1990-01-28,Non-Fatal,Destroyed,Taylorcraft,BC12D,1.0,Unknown,Personal,,,,2.0,VMC,0.0,2.0,0.0,True,Taylorcraft BC12D
1990-01-29,Fatal(2),Destroyed,Cessna,208B,1.0,Turbo Prop,Unknown,2.0,,,,IMC,2.0,2.0,1.0,True,Cessna 208B
1990-03-16,Non-Fatal,Substantial,Cessna,170B,1.0,Reciprocating,Personal,,,,2.0,VMC,0.0,2.0,0.0,False,Cessna 170B
1990-04-09,Fatal(2),Destroyed,Cessna,172,1.0,Reciprocating,Unknown,2.0,,,7.0,VMC,2.0,9.0,0.2222222222222222,True,Cessna 172
